query_accession	run_accession	sample_accession	fastq_url
ERS5320191	ERR4831118	SAMEA7563559	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4831118/ERR4831118_1.fastq.gz
ERS5320191	ERR4831118	SAMEA7563559	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4831118/ERR4831118_2.fastq.gz
ERS5317668	ERR4828595	SAMEA7561032	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4828595/ERR4828595_1.fastq.gz
ERS5317668	ERR4828595	SAMEA7561032	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4828595/ERR4828595_2.fastq.gz
ERS6403223	ERR8975651	SAMEA8718778	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/001/ERR8975651/ERR8975651_1.fastq.gz
ERS6403223	ERR8975651	SAMEA8718778	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/001/ERR8975651/ERR8975651_2.fastq.gz
ERS5300630	ERR4810912	SAMEA7543972	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/002/ERR4810912/ERR4810912_1.fastq.gz
ERS5300630	ERR4810912	SAMEA7543972	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/002/ERR4810912/ERR4810912_2.fastq.gz
ERS5320671	ERR4831724	SAMEA7564039	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/004/ERR4831724/ERR4831724_1.fastq.gz
ERS5320671	ERR4831724	SAMEA7564039	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/004/ERR4831724/ERR4831724_2.fastq.gz
ERS5317624	ERR4828551	SAMEA7560988	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/001/ERR4828551/ERR4828551_1.fastq.gz
ERS5317624	ERR4828551	SAMEA7560988	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/001/ERR4828551/ERR4828551_2.fastq.gz
ERS5302566	ERR4812406	SAMEA7545910	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4812406/ERR4812406_1.fastq.gz
ERS5302566	ERR4812406	SAMEA7545910	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4812406/ERR4812406_2.fastq.gz
ERS5298638	ERR4810611	SAMEA7542186	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4810611/ERR4810611_1.fastq.gz
ERS5298638	ERR4810611	SAMEA7542186	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4810611/ERR4810611_2.fastq.gz
ERS5319737	ERR4830664	SAMEA7563104	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/004/ERR4830664/ERR4830664_1.fastq.gz
ERS5319737	ERR4830664	SAMEA7563104	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/004/ERR4830664/ERR4830664_2.fastq.gz
ERS5312488	ERR4822424	SAMEA7555845	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/004/ERR4822424/ERR4822424_1.fastq.gz
ERS5312488	ERR4822424	SAMEA7555845	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/004/ERR4822424/ERR4822424_2.fastq.gz
ERS1987289	ERR2184470	SAMEA104362311	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184470/ERR2184470_1.fastq.gz
ERS1987289	ERR2184470	SAMEA104362311	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184470/ERR2184470_2.fastq.gz
ERS5317494	ERR4828421	SAMEA7560858	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/001/ERR4828421/ERR4828421_1.fastq.gz
ERS5317494	ERR4828421	SAMEA7560858	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/001/ERR4828421/ERR4828421_2.fastq.gz
ERS5300799	ERR4811081	SAMEA7544141	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4811081/ERR4811081_1.fastq.gz
ERS5300799	ERR4811081	SAMEA7544141	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4811081/ERR4811081_2.fastq.gz
ERS5319519	ERR4830446	SAMEA7562886	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4830446/ERR4830446_1.fastq.gz
ERS5319519	ERR4830446	SAMEA7562886	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4830446/ERR4830446_2.fastq.gz
ERS5318162	ERR4829089	SAMEA7561527	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/009/ERR4829089/ERR4829089_1.fastq.gz
ERS5318162	ERR4829089	SAMEA7561527	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/009/ERR4829089/ERR4829089_2.fastq.gz
ERS6421524	ERR8699134	SAMEA8741942	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/004/ERR8699134/ERR8699134_1.fastq.gz
ERS6421524	ERR8699134	SAMEA8741942	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/004/ERR8699134/ERR8699134_2.fastq.gz
ERS5320242	ERR4831169	SAMEA7563610	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4831169/ERR4831169_1.fastq.gz
ERS5320242	ERR4831169	SAMEA7563610	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4831169/ERR4831169_2.fastq.gz
ERS5298131	ERR4809141	SAMEA7541679	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/001/ERR4809141/ERR4809141_1.fastq.gz
ERS5298131	ERR4809141	SAMEA7541679	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/001/ERR4809141/ERR4809141_2.fastq.gz
ERS5319109	ERR4830036	SAMEA7562475	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4830036/ERR4830036_1.fastq.gz
ERS5319109	ERR4830036	SAMEA7562475	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4830036/ERR4830036_2.fastq.gz
ERS5298635	ERR4810608	SAMEA7542183	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810608/ERR4810608_1.fastq.gz
ERS5298635	ERR4810608	SAMEA7542183	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810608/ERR4810608_2.fastq.gz
ERS5302601	ERR4812441	SAMEA7545945	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4812441/ERR4812441_1.fastq.gz
ERS5302601	ERR4812441	SAMEA7545945	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4812441/ERR4812441_2.fastq.gz
ERS5303645	ERR4813485	SAMEA7546991	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4813485/ERR4813485_1.fastq.gz
ERS5303645	ERR4813485	SAMEA7546991	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4813485/ERR4813485_2.fastq.gz
ERS1987353	ERR2184534	SAMEA104362375	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184534/ERR2184534_1.fastq.gz
ERS1987353	ERR2184534	SAMEA104362375	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184534/ERR2184534_2.fastq.gz
ERS5303100	ERR4812940	SAMEA7546445	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/000/ERR4812940/ERR4812940_1.fastq.gz
ERS5303100	ERR4812940	SAMEA7546445	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/000/ERR4812940/ERR4812940_2.fastq.gz
ERS5301896	ERR4811736	SAMEA7545239	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4811736/ERR4811736_1.fastq.gz
ERS5301896	ERR4811736	SAMEA7545239	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4811736/ERR4811736_2.fastq.gz
ERS5320658	ERR4831711	SAMEA7564026	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4831711/ERR4831711_1.fastq.gz
ERS5320658	ERR4831711	SAMEA7564026	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4831711/ERR4831711_2.fastq.gz
ERS5281931	ERR4796915	SAMEA7525457	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796915/ERR4796915_1.fastq.gz
ERS5281931	ERR4796915	SAMEA7525457	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796915/ERR4796915_2.fastq.gz
ERS6402857	ERR8975160	SAMEA8718411	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/000/ERR8975160/ERR8975160_1.fastq.gz
ERS6402857	ERR8975160	SAMEA8718411	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/000/ERR8975160/ERR8975160_2.fastq.gz
ERS5320880	ERR4831933	SAMEA7564249	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4831933/ERR4831933_1.fastq.gz
ERS5320880	ERR4831933	SAMEA7564249	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4831933/ERR4831933_2.fastq.gz
ERS5298792	ERR4810765	SAMEA7542340	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4810765/ERR4810765_1.fastq.gz
